ID,Tweet,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
1.24514E+18,Un verre de vin conserve la couronne loin- DRAKE. No se hourras diga ms à cette,1,0,0,0,0,0,0,0,0,1
1.24514E+18,"Quelqu'un peut-il me dire si vous avez pris le vaccin contre la grippe l'an dernier, vous lui donnera un résultat positif pour le coronavirus même si vous ne l'avez pas ???",0,0,0,0,1,0,0,0,0,0
1.24514E+18,BTW producteurs me envoient bat Im travaillant sur la musique et de la fumée fort que nous parlons d'obtenir à travers la pandémie coronavirus,1,0,0,0,0,0,0,0,0,1
1.24514E+18,Quand quelqu'un que vous connaissez .. En dehors de votre famille meurt du coronavirus son choc inexplicable. Toute ma journée a été en baisse.,0,0,0,0,0,1,0,0,0,0
1.24514E+18,"football Cher, tu me manques vraiment, s'il vous plaît revenez déjà :( Aussi chère couronne, Frick u pour tout gâcher",0,0,0,0,0,1,1,0,0,0
1.24514E+18,nouveau remède maison pour traiter coronavirus! testé par les principaux responsables à la maison blanche,1,0,0,0,0,0,0,1,0,1
1.24514E+18,"Lorsque Xavier Wulf fait une attaque sur la bande Titan comme il l'a fait pour Project X Initial D, le coronavirus disparaîtra officiellement",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Rince-bouche est la main san pour votre bouche et je ne sais pas comment se sentir à ce sujet ShowerThoughts StayAtHome coronavirus,0,0,0,0,0,1,0,0,0,1
1.24514E+18,Oui tous! n en France 1.000 chrétiens ont pris le coronavirus d'une réunion de l'Église dimanche!,0,0,0,0,0,0,1,0,1,0
1.24514E+18,Mise à jour je détruit le pneu honnêtement si je reçois le virus corona à cause de ce que par hasard je l'ai mérité,0,0,0,1,0,1,0,0,0,0
1.24514E+18,Cela se sent comme une grande expérience de Stanford Prison. Pouah! Corona mis en quarantaine,0,0,0,0,0,1,1,0,0,0
1.24514E+18,"Mon oncle paranoïaque à propos de coronavirus, mais va encore au travail ....... choisir un",0,0,0,0,0,0,1,0,0,1
1.24514E+18,"Lol ..... Bonne mois bro, me envoyer rapidement quelque chose avant coronavirus lingette fou Avril enfin 0124152280 GTBank",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Quelqu'un devrait maintenant venir nous dire toute cette merde coronavirus est juste pour avoir le meilleur AprilFoolsDay .Il serait une bonne nouvelles tho,1,0,0,0,0,0,1,0,0,0
1.24514E+18,Ce virus corona me transforme en un millénaire. Je reste à la maison. Ca ne fonctionne pas. Se plaindre de tout.,0,0,0,0,0,0,1,0,0,1
1.24514E+18,Si jamais vous resté au palais dans la tour de Pocono suite Champagne vous êtes à l'abri couronne,0,0,0,0,0,0,0,0,0,1
1.24514E+18,Tout est plus grand au Texas et FOU. Coronavirustruth coronavirus Covid_19 CoronavirusPandemicUSA,0,0,0,0,0,0,1,0,0,0
1.24514E+18,je ne peux pas arrêter de regarder les vidéos de b cardi dire coronavirus,0,0,0,0,0,0,0,0,0,1
1.24514E+18,"20 ans * Hey maman, au cours de 2020 comment avez-vous survivez le virus corona?",1,0,0,1,0,1,0,0,0,0
1.24514E+18,Voulez-vous dire qu'ils sont tous deux équivalents? Ou même se rapproche? Parlez de fausses nouvelles! coronavirus UKlockdown,0,0,0,0,1,0,1,1,0,0
1.24514E+18,"Eh bien, un foulard rouge sur une poignée de porte A sur le plan technique empêché coronavirus pour quelques personnes déjà en train de dire",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Si Corona get weh un Bermudes la Realest façon personne ne nah lef ova deh,1,0,0,0,1,0,0,0,0,1
1.24514E+18,"entreprises féminines fondée, par conséquent, ont moins d'argent à portée de main pour les mener à bien tout type d'événement inattendu, comme COVID19.",0,0,0,1,1,1,0,0,0,1
1.24514E+18,"Tout ce que Twerk Air a transformé en virus Corona et Yall encore danser le twerk, mon Seigneur !!",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Appel Corona Virus rona comme elle la petite fille le plus méchant de la 5ème année.,0,0,0,0,0,0,0,0,0,1
1.24514E+18,si je me courbe ima aller quelque part emballé pour me donner coronavirus.,0,0,0,1,0,0,0,0,0,1
1.24514E+18,.... nous précommande pour que les gens obtiennent le test bêta bientôt? Ce serait un peu de bonne coronavirus coincé au moment de la maison pour elle,0,0,0,0,0,1,0,0,0,1
1.24514E+18,plan est d'abattre toute la sécurité sociale et les bénéficiaires de Medicare pour permettre plus de réductions d'impôts. Merci Covid_19,0,1,0,0,0,0,1,1,0,0
1.24514E+18,Avez-vous vu cette chose d'envoyer un échantillon de selles à Nancy pour voir si nous avons couronne (maïs facultative),0,0,0,0,0,0,0,0,0,1
1.24514E+18,"Ainsi, ur le point, un vrai compte des décès coronavirus est peu probable",0,0,0,1,0,1,0,0,0,0
1.24514E+18,"Oui. Vous voulez sortir récit de Corona, droitistes, ne faire aucun droit.",0,0,0,0,0,1,1,0,0,0
1.24514E+18,Ne pas voir ce tosser faire à l'extérieur compte tenu de l'effet ne marche pas coronavirus lui.,0,0,0,0,0,0,1,0,0,1
1.24514E+18,Coronavirus mises à jour en direct: monte en flèche de péage de mort passé 41400 avec plus de 846.000 personnes infectées dans le monde,0,0,0,0,0,0,0,0,1,0
1.24514E+18,Je ne serais pas surpris de l'Alabama se termine avec le plus petit nombre de cas confirmés de virus Corona.,1,0,0,0,0,0,0,0,0,0
1.24514E+18,Dès que cette merde corona est sur imma frappé le planchodrome avec mon père dès que possible,1,0,0,0,0,0,0,0,0,0
1.24514E+18,Mars: un mois qui a introduit le virus Corona au monde .. DesEnfants né ce mois devrait nommé d'après Corona .. Il suffit de dire,0,0,0,0,0,0,0,0,0,1
1.24514E+18,Nous allons battre ce virus putain F U Covid_19 K,1,0,0,0,0,0,1,0,0,0
1.24514E+18,si votre couronne fucked horaire de sommeil encore plus qu'il était déjà Applaudissez,0,0,0,0,0,0,1,0,0,1
1.24514E+18,"le monde veut savoir pourquoi vous avez jeté la Floride sous le bus, quel est votre objectif? covid19",0,0,0,0,0,0,1,0,0,0
1.24514E+18,Les JMEA offre ses condoléances à la famille du patient covid19 qui est mort cet après-midi.,0,0,1,0,0,1,0,0,1,0
1.24514E+18,Rien de pire que de tomber pour un gars pendant corona .... ne peux pas même l'embrasser bc distanciation sociale,0,0,0,0,0,1,0,0,0,0
1.24514E+18,ne peut pas attendre que le gouvernement nous dire corona virus était faux pour Aprils demain fou,0,0,0,0,0,0,0,0,0,1
1.24514E+18,"Imaginez 1pant de gari fait entrer 1300 à cause du virus Corona, à part la mise à mort de la maladie, nous tuer encore aujourd'hui notre auto",0,0,0,1,0,1,0,0,0,0
1.24514E+18,"J'ai juste besoin de connaître mes favoris, et sont à l'abri de la coronavirus",1,0,1,0,0,0,0,0,0,1
1.24514E+18,juste vu la première fois que je april fools couronne blague peut-être malade juste Abstention de médias sociaux pour aujourd'hui :)),0,0,0,0,0,1,1,0,0,1
1.24514E+18,"l'homme de la Floride oublie de vérifier son dossier de courrier indésirable, misses message disant coronavirus est pas un canular",0,0,0,0,0,0,1,0,0,1
1.24514E+18,Pourquoi ne pas vous venez de prendre soin des Américains qui ont covid19 et trouver le remède,0,0,0,0,0,0,1,0,0,0
1.24514E+18,Peut-on s'il vous plaît annuler l'année 2020 et d'obtenir une nouvelle année ??? Cette année est défectueuse! COVID19 coronavirus,0,0,0,0,0,0,1,0,0,1
1.24514E+18,génie cunthole plus comme ça ... jour corona heureux de vous et votre famille ...,0,0,0,0,0,0,0,0,0,1
1.24514E+18,Alors crève-cœur comme vous le voyez prières à toutes les familles touchées par le COVID19.,0,0,1,0,0,1,0,0,0,0
1.24514E+18,est coronavirus répandre encore par l'argent? je dors mieux la nuit sachant que mon ex ne vais pas le faire,0,0,1,0,1,0,0,0,0,1
1.24514E+18,Réinfection en raison de nouvelles variantes de en peu de temps est explication la plus plausible de danger par Covid19 COVID19 COVID19,0,0,0,0,1,0,0,0,1,0
1.24514E+18,COVID19 dans ma ville. centre de désintoxication de santé tests positifs. Juste une question de temps avant qu'il est venu ici.,0,0,0,1,1,0,0,0,0,0
1.24514E+18,"tryna ont les titying un peu plus, mais nous ne retournerons pas Corona nous",0,0,0,0,0,1,1,0,0,0
1.24514E+18,La police a peur de la couronne trop .... Ive les orge vu depuis ce gâchis a commencé. vous bon,0,0,0,0,1,0,0,0,0,0
1.24514E+18,"Le Brésil a besoin d'être ensemble avec le monde pour lutter contre le coronavirus, une épidémie mondiale",1,1,0,0,0,0,0,0,0,0
1.24514E+18,"Si les extrémités coronavirus causant jusqu'à la fin de moi, je vous promets de hanter Donald Trump pour le même nombre d'années, il est hanté cette nation.",0,0,0,0,0,0,1,0,0,0
1.24514E+18,quelqu'un besoin de commencer une relation de charnière à distance avec afin que je puisse publier tous nos messages comme Amour au temps du coronavirus,1,0,0,0,0,0,0,0,0,1
1.24514E+18,Je dois aller à ce magasin d'alcool! YOLO20s coronavirus StayAtHome QuarantineLife,1,0,0,0,1,0,1,0,0,1
1.24514E+18,"Team building est important pendant les périodes Corona. Alors, est la mise en réseau. :) Continuez.",1,0,0,0,0,0,0,0,0,0
1.24514E+18,Rappelez-vous le site Web du coronavirus Trump a parlé? Un cabinet tours Kushner liée Jared construisais Il,0,0,0,0,0,0,1,1,0,0
1.24514E+18,Les femmes iront toujours là à blâmer coronavirus sur les hommes lol,0,0,0,0,0,0,0,0,0,1
1.24514E+18,62 nouveaux cas confirmés (s) en Equateur totalisant 2302 à cet endroit. Déjà 856888 dans le monde entier. coronavirus covid19 Equateur,0,0,0,0,0,0,0,0,1,0
1.24514E+18,Nous interrompons cette connerie de coronavirus pour vous apporter un tremblement de terre dans Emmett Idaho.,0,0,0,0,0,1,1,0,0,1
1.24514E+18,En ce que le gouvernement a 11 heures pour révéler coronavirus était blague est un fou Avril.,0,0,0,0,0,0,0,0,0,1
1.24514E+18,Tout Im dire est cette merde couronne n'a pas été un problème jusqu'à ce que j'ai obtenu mon permis de pilotes,0,0,0,0,0,1,0,0,0,0
1.24514E+18,Coronavirus est juste un virus de la grippe NOUVEAU - il disparaîtra en été. Pourquoi la panique? Juste interdire la grippe Américains infectés de voyager à l'étranger.,1,0,0,0,0,0,0,0,0,0
1.24514E+18,J'espère que le coronavirus est juste une grande blague de merde AprilFoolsDay. Confinement lié au covid19,1,0,0,0,0,0,0,0,0,1
1.24514E+18,Rappelez-vous les républicains et le président a appelé un canular démocrate pour Covid-19!,0,0,0,0,0,0,1,0,0,0
1.24514E+18,"Alex Jones coronavirus suppléments jeudi. Un mélange scientifique de zinc, les matières fécales des animaux, et le sable.",1,0,0,0,0,0,1,0,0,1
1.24514E+18,"Michael, vous tuer plus dur que couronne et je l'espère, plus tôt que tard votre sens des fléaux d'humour de la planète entière.",1,0,0,0,0,0,0,0,0,1
1.24514E+18,comment est-il la Chine a des cas moins que le coronavirus Do not quelque chose USA ajouter thefinal5,0,0,0,0,0,0,0,1,0,0
1.24514E+18,Ha! Je regardais notre maire donner le rapport quotidien coronavirus et n'étais pas prêter attention quand je reformulé mon tweet. editButton,0,0,0,0,0,0,0,1,0,0
1.24514E+18,A l'intérieur d'un hôpital coronavirus semble être un endroit où aller si vous voulez obtenir coronavirus.,0,0,0,0,0,0,1,0,0,1
1.24514E+18,"Je souhaite qu'il était coz il aint inquiet au sujet de couronne, les chiens ne peuvent pas l'obtenir",1,0,0,0,1,0,1,0,0,0
1.24514E+18,"mon anniversaire est en 2 mois exactement, merci de me joindre à nous pour dire une prière pour couronne à disparu alors si je peux être 21 avoir du plaisir",1,0,1,0,0,0,0,0,0,0
1.24514E+18,BreakingNews: Le bilan des morts à New York dépasse 1000 comme des cas positifs de l'approche Covid-19 marque 42000. coronavirus,0,0,0,0,0,0,0,0,1,0
1.24514E+18,"Rien dernier pour toujours, le virus Corona Vanish ce mois-ci. Joyeux nouveau mois",1,0,0,0,0,0,0,0,0,0
1.24514E+18,nouvel amour mois heureux. Je vous souhaite corona temps libre et plus heureux avec votre famille,1,0,1,0,0,0,0,0,0,0
1.24514E+18,"Parce que weve su depuis des mois, mais notre président a eu la tête dans le cul. coronavirus",0,0,0,0,0,0,1,0,0,0
1.24514E+18,Bonne fam mois! Que la fin de chose couronne au nom de Jésus,1,0,1,0,0,0,0,0,0,0
1.24514E+18,"rappelez-vous juste si le coronavirus na pas venir vous chercher, je ne reviendrai pas vraiment avoir non plus.",0,0,0,0,0,0,0,0,0,1
1.24514E+18,Si seulement le virus corona était un sots Avril plaisanterie et rien comme ça existait,0,0,0,1,0,1,0,0,0,1
1.24514E+18,Ce que je suis plus enthousiaste à propos de Joe Biden: - obtenir coronavirus - consommation des déchets toxiques - les yeux fixés sur le mur - un tas de boue,0,0,0,0,0,1,0,0,0,1
1.24514E+18,il y a 3011 cas de coronavirus dans la et si je veux harry est vraiment là le sortir comme quelqu'un peut aller le chercher ou quelque chose,0,0,0,0,1,1,0,0,0,1
1.24514E+18,Réinfection en raison de nouvelles variantes de en peu de temps est explication la plus plausible de danger par Covid19 COVID19,0,0,0,0,1,0,0,0,1,0
1.24514E+18,"Covid19 ne verra pas notre fin, nous verrons la fin de covid19 !! ~ Psaume 118: 17 Bonne Mois y'all",1,0,0,0,0,0,0,0,0,0
1.24514E+18,Notre équipe de gestion de coronavirus des fissures prévoit maintenant de perdre 100K-240K Américains en raison de l'incompétence.,0,0,0,0,0,0,1,0,0,0
1.24514E+18,Il fait cela merde un peu toute la semaine. Enfoncer le monde entier tout en MFS se battent couronne,0,0,0,0,0,0,1,0,0,0
